country,Code,Year,cereals,roots_tubers,vegetables,fruits,milk_equivalents,red_meat,poultry,eggs,seafood,legumes,nuts,oils,sugar
French Polynesia,PYF,2017,284.3561644,131.7534247,152.4109589,161.7808219,109.1780822,129.4520548,129.8630137,20.02739726,129.4246575,5.397260274,1.506849315,37.12328767,52.05479452
Gabon,GAB,2017,342.2465753,445.7534247,90.02739726,339.1780822,35.61643836,41.15068493,80.35616438,2.630136986,84.76712329,0.520547945,0.191780822,18.52054795,40.05479452
Gambia,GMB,2017,421.2328767,16.57534247,47.28767123,16.82191781,92.68493151,9.835616438,9.671232877,3.863013699,75.42465753,2.465753425,1.726027397,42.60273973,73.50684932
Georgia,GEO,2017,519.7534247,124.8767123,136.3561644,105.5616438,377.890411,44.98630137,41.83561644,16.73972603,22.02739726,0.082191781,5.424657534,30.05479452,106.0821918
Germany,DEU,2017,312.0273973,184.6027397,261.260274,186.7671233,732.9315068,181.3150685,53.34246575,30.73972603,34.93150685,2.164383562,9.835616438,76.60273973,99.31506849
Ghana,GHA,2017,294.7671233,1148.328767,78.54794521,486.109589,19.47945205,10.43835616,19.83561644,3.287671233,69.89041096,18.2739726,1.698630137,17.45205479,33.45205479
Greece,GRC,2017,377.9178082,162.5205479,410.7945205,328.5753425,624.0821918,148.4383562,41.97260274,23.56164384,53.26027397,13.17808219,34.65753425,90.08219178,74.63013699
Grenada,GRD,2017,220.3287671,63.94520548,103.8356164,318.2739726,78.21917808,35.7260274,125.2054795,26.54794521,74.24657534,18.46575342,0.410958904,32.32876712,100.8493151
Guatemala,GTM,2017,381.7260274,33.53424658,146.0547945,169.0410959,111.0410959,42.90410959,56.38356164,36.95890411,7.068493151,41.56164384,4.98630137,24.43835616,132.6575342
Guinea,GIN,2017,534.739726,364.7945205,136.9589041,245.5342466,45.53424658,23.17808219,11.17808219,5.095890411,27.64383562,12.1369863,0.02739726,41.69863014,33.78082192
Guinea-Bissau,GNB,2017,461.9726027,173.369863,50.54794521,136.109589,46.82191781,41.45205479,5.917808219,2.219178082,3.561643836,5.342465753,9.589041096,39.42465753,7.260273973
Guyana,GUY,2017,480.3287671,90.24657534,746.4657534,284.4931507,232.0821918,18.73972603,105.0410959,5.095890411,83.50684932,19.17808219,2.136986301,14.65753425,80.68493151
Haiti,HTI,2017,328.8767123,281.3424658,49.75342466,294.7671233,21.47945205,22.76712329,24.4109589,1.287671233,12.4109589,49.17808219,0,22.4109589,43.97260274
Honduras,HND,2017,366.1917808,17.56164384,68.73972603,176.9315068,232.9863014,31.12328767,59.53424658,11.89041096,8.630136986,36.08219178,0.712328767,35.78082192,113.5890411
Hong Kong,HKG,2017,365.9178082,28.16438356,355.7534247,189.0410959,91.09589041,220.7123288,146.6027397,50.76712329,193.8356164,2.876712329,21.64383562,22.95890411,72.68493151
Hungary,HUN,2017,318.5753425,127.8356164,238.3287671,129.4794521,522.7945205,148.3561644,69.23287671,37.28767123,17.26027397,8,0.767123288,74.73972603,52.1369863
Iceland,ISL,2017,222,107.2876712,198.7123288,260.8493151,700.7123288,158.3835616,82.05479452,29.94520548,248.5205479,2.02739726,4.054794521,76.1369863,87.5890411
India,IND,2017,505.6438356,81.17808219,218.7945205,158.0547945,290.5753425,3.97260274,6.082191781,8.904109589,18.90410959,45.69863014,4.438356164,21.8630137,44.35616438
Indonesia,IDN,2017,757.9178082,144,119.8082192,171.3150685,18.46575342,12.30136986,19.69863014,15.26027397,122.3835616,3.068493151,1.753424658,27.61643836,50.95890411
Iran,IRN,2017,576.4383562,135.2328767,515.0136986,325.9178082,147.2876712,22.73972603,75.39726027,20.21917808,32.1369863,19.45205479,26.4109589,53.78082192,76.73972603
Iraq,IRQ,2017,499.6712329,22.49315068,102.8219178,134.7945205,41.28767123,11.06849315,40.95890411,25.8630137,9.232876712,9.97260274,2.630136986,42.65753425,65.45205479
Ireland,IRL,2017,338.9589041,190.0821918,266.1369863,182.739726,642.1917808,144,70.73972603,25.01369863,64.19178082,7.123287671,4.493150685,87.12328767,94.71232877
Israel,ISR,2017,368.5753425,96.52054795,428.0547945,308.0273973,527.0136986,81.09589041,184.630137,27.36986301,71.01369863,17.5890411,10.93150685,85.8630137,67.5890411
Italy,ITA,2017,440.9315068,98.30136986,358.5753425,310.7945205,625.9452055,164.9863014,51.7260274,32.24657534,81.64383562,14.35616438,21.83561644,88.05479452,85.50684932
Jamaica,JAM,2017,316.6849315,170.7123288,241.2328767,300.4109589,194.3013699,21.45205479,140,5.424657534,69.61643836,8.109589041,0.410958904,35.97260274,135.3972603
Japan,JPN,2017,386.0821918,70.02739726,249.5890411,90.79452055,160.630137,84.19178082,50.68493151,53.80821918,124.630137,4.082191781,2.575342466,45.04109589,41.78082192
Jordan,JOR,2017,379.9178082,57.5890411,285.6712329,125.2876712,114.5753425,26.79452055,76.90410959,8.98630137,16.08219178,17.17808219,4.438356164,56.49315068,93.47945205
Kazakhstan,KAZ,2017,335.5068493,282.109589,525.8082192,165.6164384,739.8082192,111.890411,50.05479452,23.61643836,12.32876712,1.315068493,4.356164384,76.38356164,73.80821918
Kenya,KEN,2017,380.9315068,191.0136986,109.4520548,118.2465753,221.6438356,35.97260274,1.835616438,3.643835616,10.90410959,44.10958904,2.246575342,19.80821918,40.98630137
Kiribati,KIR,2017,284.7123288,247.1506849,142.4109589,202.6849315,5.369863014,32.49315068,49.26027397,5.643835616,210.109589,0.109589041,6.712328767,16.87671233,128.3013699
Kuwait,KWT,2017,430.2739726,121.7534247,489.9178082,200.0273973,131.1506849,56.57534247,126.7123288,50.16438356,31.45205479,16.4109589,5.698630137,45.23287671,104.1643836
Kyrgyzstan,KGZ,2017,450.8219178,259.0410959,505.0684932,101.9178082,571.0410959,70.82191781,8.493150685,11.83561644,3.123287671,15.34246575,6.465753425,24.35616438,59.36986301
Laos,LAO,2017,798.2739726,169.6164384,566.8219178,429.260274,7.945205479,53.39726027,29.89041096,5.178082192,69.20547945,7.232876712,0.136986301,15.23287671,22.71232877
Latvia,LVA,2017,329.3424658,339.0410959,319.0136986,132.5479452,609.1506849,129.6712329,57.23287671,34.21917808,68.10958904,0.164383562,4.082191781,96.79452055,55.39726027
Lebanon,LBN,2017,398.8767123,110.2191781,354.6027397,235.6164384,171.1780822,36.19178082,29.42465753,5.835616438,23.91780822,16.90410959,17.78082192,52.63013699,96.10958904
Lesotho,LSO,2017,496.4383562,152.1917808,71.34246575,38.21917808,59.01369863,21.75342466,21.7260274,2.547945205,5.04109589,24.54794521,0.109589041,14.84931507,28.54794521
Liberia,LBR,2017,335.0410959,318.739726,65.83561644,111.2328767,3.205479452,16,29.23287671,3.315068493,16.10958904,2.02739726,1.616438356,41.15068493,16.98630137
Lithuania,LTU,2017,380.3013699,133.7534247,258.7671233,141.0410959,960.739726,144.0273973,77.23287671,41.12328767,90.65753425,25.78082192,3.232876712,60.16438356,94.2739726
Luxembourg,LUX,2017,278.4383562,119.6164384,263.0958904,243.0684932,406.1643836,164.2739726,50.21917808,42.68493151,88.08219178,2.164383562,1.671232877,60.02739726,30.73972603
Macao,MAC,2017,303.2328767,43.42465753,368.6849315,117.3424658,86.60273973,183.4246575,94.43835616,49.78082192,154.3287671,2.95890411,6.575342466,41.53424658,46.43835616
Madagascar,MDG,2017,461.6438356,334.6027397,43.64383562,117.260274,57.89041096,25.06849315,7.863013699,1.780821918,14.49315068,8.575342466,0.602739726,8.164383562,23.06849315
Malawi,MWI,2017,396.5753425,757.6986301,148.5753425,316.3835616,9.424657534,41.5890411,14.16438356,3.095890411,26.02739726,44.21917808,0.602739726,10.65753425,22.65753425
Malaysia,MYS,2017,510.9041096,48.90410959,182.0547945,123.1232877,15.64383562,37.45205479,107.4246575,48.98630137,157.8630137,7.726027397,2.465753425,50.82191781,115.0410959
Maldives,MDV,2017,324.9315068,46.19178082,217.3424658,171.1506849,65.20547945,19.15068493,36.98630137,32.16438356,247.6986301,2.273972603,21.31506849,5.205479452,64.60273973
Mali,MLI,2017,673.6164384,90.82191781,247.4520548,132.2739726,241.5616438,49.45205479,7.753424658,1.945205479,25.5890411,26.98630137,8.054794521,18.95890411,27.34246575
Malta,MLT,2017,385.2328767,100.4109589,550.3561644,225.8356164,305.0136986,135.0958904,74.43835616,32.73972603,87.39726027,10.71232877,6.02739726,33.75342466,129.0958904
Mauritania,MRT,2017,512.8493151,25.45205479,99.5890411,32.52054795,245.9452055,54.08219178,14.08219178,6.356164384,25.09589041,27.53424658,0,42.16438356,100.8493151
Mauritius,MUS,2017,509.890411,54.43835616,199.1506849,105.8630137,50.93150685,33.36986301,103.9178082,17.53424658,63.20547945,25.39726027,1.095890411,61.01369863,77.53424658
Mexico,MEX,2017,466.4383562,47.50684932,206.9041096,313.3150685,326.0547945,86.84931507,89.09589041,52.90410959,39.39726027,28.84931507,4.575342466,34.79452055,101.5342466
Moldova,MDA,2017,372.8493151,125.0684932,205.8082192,109.6712329,352.1369863,59.75342466,44.21917808,21.75342466,31.7260274,2.054794521,0.575342466,40.30136986,58.05479452
Mongolia,MNG,2017,303.3972603,78.24657534,129.6164384,31.15068493,474.3561644,201.3424658,7.589041096,11.15068493,1.315068493,1.095890411,0.410958904,28.10958904,38.95890411
Montenegro,MNE,2017,300.2465753,71.15068493,297.5890411,341.0136986,1068.246575,156.1643836,43.78082192,32.98630137,38.52054795,12.57534247,5.643835616,37.64383562,58.54794521
Morocco,MAR,2017,717.6986301,131.8356164,279.5890411,276.7123288,144.0547945,33.7260274,57.42465753,18.60273973,53.34246575,12.68493151,9.780821918,36.90410959,100.8493151
Mozambique,MOZ,2017,364.7945205,616.3561644,76.71232877,78.30136986,45.31506849,15.83561644,9.835616438,5.342465753,31.39726027,35.42465753,5.561643836,21.5890411,27.09589041
Myanmar,MMR,2017,537.5342466,46.54794521,226.8219178,129.2054795,116.4383562,76.35616438,83.20547945,14.79452055,129.6438356,41.06849315,9.342465753,25.89041096,4.767123288
Namibia,NAM,2017,309.0684932,399.5616438,73.61643836,97.42465753,169.7534247,37.83561644,31.5890411,3.726027397,31.67123288,22.73972603,0.356164384,33.23287671,71.39726027
Nepal,NPL,2017,686.3561644,228.8493151,350.7945205,179.3972603,148.2739726,31.67123288,5.452054795,5.424657534,7.753424658,34.43835616,3.698630137,32.21917808,12.43835616
Netherlands,NLD,2017,257.3150685,220.8219178,168.7671233,254.9589041,932.4657534,148.5753425,55.69863014,38.68493151,59.64383562,4.410958904,8.219178082,61.26027397,116.739726
New Caledonia,NCL,2017,274.9041096,82.1369863,179.1506849,178.8767123,88.63013699,81.80821918,106.0547945,24,65.20547945,4.082191781,1.205479452,44.76712329,59.5890411
New Zealand,NZL,2017,313.1780822,136.2191781,270.2191781,162.4109589,301.4794521,174.6027397,95.31506849,28.54794521,67.75342466,9.753424658,6.054794521,51.75342466,135.369863
Nicaragua,NIC,2017,457.0958904,52,97.39726027,104.3835616,232.630137,24.32876712,59.15068493,14.93150685,17.83561644,37.04109589,0.082191781,27.36986301,111.3972603
Niger,NER,2017,612.8493151,37.09589041,291.8356164,70.1369863,149.1232877,25.56164384,2.575342466,0.657534247,5.561643836,95.80821918,0,14.19178082,9.808219178
Nigeria,NGA,2017,376.9863014,674,216.1643836,152.7945205,5.97260274,14.32876712,2.767123288,6.821917808,24.98630137,28.68493151,2.904109589,30.10958904,20.95890411
